"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000310526.1",70.2984370959801,0.0617407467946092,0.218782161949459,0.686292028094479,0.805313365689564
"ENSG00000243485.6",2.7340156135255,-0.0495393147346026,0.297682755542071,0.466812356237817,NA
"ENSG00000241860.8",4.62708930709671,0.044182170250795,0.289479646772777,0.620977155732493,NA
"ENSG00000233750.3",2.86827986224713,-0.0135652112218332,0.29213421779437,0.842336233349429,NA
"ENSG00000308579.1",1.70291013634095,-0.070077759633576,0.308346144155544,0.143906628039406,NA
"ENSG00000269981.1",4.02741106384508,-0.0800244816138451,0.307335762743306,0.246985198087073,NA
"ENSG00000310528.1",0.91881591627946,-0.0584408007339873,0.305156445392491,0.191577373940718,NA
"ENSG00000308415.1",1.35411000344374,0.00613244268489011,0.296213968122293,0.898571499614041,NA
"ENSG00000310527.1",43.9633380099286,0.00442222800282051,0.230334862471995,0.977831121060493,0.988634057745452
"ENSG00000292994.2",12.1019515771696,0.0386126867067422,0.270724517403245,0.752517731149768,NA
"ENSG00000286448.2",9.13369693778215,0.167738658589357,0.327825081826047,0.19128948753475,NA
"ENSG00000290385.2",32.3629334008503,-0.0107910091799712,0.256750601625231,0.933192309242701,0.962711822101934
"ENSG00000225880.7",168.608128948749,-0.174938832925117,0.21316098412127,0.266600810991368,0.456168916030923
"ENSG00000225972.1",6.2467200089524,-0.113154606437375,0.308646562633028,0.273383854108256,NA
"ENSG00000225630.1",14.4911911264519,-0.140079847386078,0.307185427002304,0.269945747483102,NA
"ENSG00000237973.1",286.669431993854,-0.198235789451722,0.277863409369023,0.223915642484686,0.411176789439784
"ENSG00000229344.1",41.0714387585065,-0.216678005566857,0.334679278190968,0.159201962448219,0.333598785097395
"ENSG00000248527.1",50.3661037494561,-0.175289913223717,0.259141756952221,0.278037794325014,0.468322275970305
"ENSG00000198744.5",27.8856454992102,-0.299263325196284,0.39409964706238,0.0853139716753153,0.231077179608985
"ENSG00000229376.3",5.04533299840814,-0.114986236184136,0.320931043827548,0.15218248696274,NA
"ENSG00000223181.1",2.06769613945276,-0.00242071669261686,0.292990819350802,0.969425234311638,NA
"ENSG00000229905.1",2.03260648787729,-0.0215408323340944,0.296089788235512,0.697467051767179,NA
"ENSG00000237491.11",103.194435218869,0.284247267195502,0.24219034493181,0.0998657893420867,0.252579337764948
"ENSG00000177757.3",12.3444789111579,-0.224699427212231,0.379990915213943,0.0933295209947615,NA
"ENSG00000228794.13",317.335584189719,-0.391624873569541,0.295216145699466,0.0442480174566926,0.160292351414731
"ENSG00000297178.1",17.4517801146781,-0.114626587405804,0.300001978958493,0.329355778925988,NA
"ENSG00000272438.2",7.69394624936101,-0.104370420094956,0.301420705845617,0.331178478000928,NA
"ENSG00000223764.3",3.66149839297575,-0.115878615001001,0.316626898399194,0.20335875719022,NA
"ENSG00000187634.13",13.6053138994719,0.145532128444652,0.304111460658292,0.276364564195366,NA
"ENSG00000188976.11",2297.23900595147,-0.0310982451907882,0.187045249355018,0.828915884881343,0.900739340555692
"ENSG00000187961.15",332.665765022374,0.128328582048569,0.207992199679156,0.41041834820643,0.59344066553707
"ENSG00000187583.11",145.843508579823,-0.541997168136692,0.411233865058896,0.0211884599902941,0.107512703492477
"ENSG00000187642.10",3.56675914416926,-0.0688169342629626,0.301703728971091,0.350417464424605,NA
"ENSG00000272512.1",7.68854397270793,-0.00480100062568886,0.275672637507186,0.962997273250296,NA
"ENSG00000188290.11",1034.3211496977,0.11270450324696,0.217790416319584,0.469361978785651,0.64261856449723
"ENSG00000303623.1",16.6616930403833,-0.0764513655352457,0.255619131084251,0.593154816668254,NA
"ENSG00000187608.10",1062.91078832304,-0.310025343959644,0.262349494895561,0.0811220591354672,0.224793198627047
"ENSG00000303614.1",11.7537323061968,-1.45861445411473,0.754050114076692,0.00215395002263442,NA
"ENSG00000224969.1",7.56088876113018,-0.0803940494798066,0.293215096566058,0.437994940870232,NA
"ENSG00000188157.16",15043.8197665348,-1.44992255546617,0.356362797682957,2.72342429798315e-06,0.000341608822607859
"ENSG00000291156.2",117.670778570062,0.0285924483019903,0.22437530709747,0.850458412984024,0.914462970706054
"ENSG00000273443.2",21.3514435394285,0.0266556195212649,0.242536115926894,0.854845020203338,0.916518537201869
"ENSG00000217801.13",9.37231970819904,-0.0417902927637373,0.271650934716194,0.724745009844485,NA
"ENSG00000304119.1",14.1245485589034,0.0615531153595021,0.270629275228762,0.632959393780239,NA
"ENSG00000304169.1",3.10757094421685,0.0191807975097522,0.292889657206116,0.777631207211903,NA
"ENSG00000237330.3",22.3847413445602,0.0901052472562103,0.267189392705893,0.516808691543807,0.680314351815083
"ENSG00000131591.18",296.863787586794,-0.0503741868109254,0.205389713301992,0.735894309948662,0.839464273565832
"ENSG00000285812.1",16.8125317283502,-2.32622721632452,0.818048588340376,0.000194502819299075,NA
"ENSG00000223823.1",1.2895634039747,0.00945206550422206,0.296585485403185,0.844800889607761,NA
"ENSG00000304965.1",9.69047050750984,-0.00922013964415688,0.269093405632451,0.935521068602349,NA
"ENSG00000207730.3",12.5990724541768,-0.0757007385593609,0.276160732829858,0.545937747076067,NA
"ENSG00000207607.3",15.2689017766611,-0.186864391738082,0.333812593585029,0.170980448616868,NA
"ENSG00000198976.1",11.5108113911709,-0.0584571139302188,0.274580038183256,0.629041682551122,NA
"ENSG00000272141.1",61.7924207725486,-0.0367123703550364,0.241672445776271,0.796794921679409,0.88051005417936
"ENSG00000205231.1",3.41156342848285,-0.0937107754301618,0.311791713432634,0.205729349792628,NA
"ENSG00000162571.14",5.55380405609831,-0.154540933138791,0.338122409946646,0.131315647946374,NA
"ENSG00000186891.14",59.4548129379652,0.0801813030651244,0.239710574296334,0.594599612790983,0.739723488322365
"ENSG00000186827.12",1.00180585457216,-0.0182125205047146,0.297030248447679,0.699296004674894,NA
"ENSG00000078808.20",2396.33621907958,-0.342547304170893,0.257722847077016,0.058186477911278,0.185722755217751
"ENSG00000176022.7",977.965418467019,-0.0185175804787573,0.186413928715288,0.891991993872892,0.940050551944657
"ENSG00000184163.3",9.01848640958923,-0.0882254252239833,0.291083502243545,0.432040556066649,NA
"ENSG00000260179.1",5.67011241663626,-0.186131410162785,0.359111659123136,0.0980303945187415,NA
"ENSG00000160087.21",1155.51520777628,-0.277885763855107,0.197587014045139,0.074263727398263,0.213609441684196
"ENSG00000230415.2",18.4144524560992,0.108049110291606,0.275803309001415,0.436042706575443,NA
"ENSG00000162572.21",38.6347826507736,-0.111170190710502,0.25131276688224,0.461589116485127,0.636585679234134
"ENSG00000131584.19",762.463590867831,-0.137050619606091,0.215734659054641,0.378848865101347,0.565343308632106
"ENSG00000169972.13",299.175379480183,-0.0652705518731768,0.212998260011846,0.664924128199126,0.791107992007676
"ENSG00000127054.22",2160.2895421286,0.0127535629300892,0.189329952219739,0.933629950261544,0.962775693793337
"ENSG00000240731.1",33.5322754829765,-0.186170500832639,0.270106475673676,0.251778056367458,0.441892661160773
"ENSG00000224051.7",543.637495729055,-0.870455402710863,0.345662655642038,0.000913922779351321,0.0152095832622241
"ENSG00000169962.5",68.2052331155589,-0.203984487755329,0.27258941400075,0.217932864711212,0.404790493354562
"ENSG00000107404.21",3969.28741746712,0.142519687984903,0.224319101027059,0.368223901327919,0.555541434781638
"ENSG00000304860.1",23.046265837025,-0.0172547574040279,0.250500309949576,0.8988506011785,0.94406155482719
"ENSG00000162576.17",713.829921011813,-0.119061364095885,0.210289210332944,0.438146003955489,0.616104176305238
"ENSG00000175756.14",1259.56407209172,0.0948304798574311,0.212095991703374,0.53891425381164,0.696835710108088
"ENSG00000221978.13",2083.31915165021,-0.127102508332477,0.169290307609371,0.364356373941791,0.551562180723598
"ENSG00000224870.10",200.091411244311,-0.203361176761822,0.206986610820425,0.195055716585882,0.378013747431794
"ENSG00000242485.6",316.96485797251,-0.0834759490650413,0.189021489568684,0.571021658512571,0.722691229664284
"ENSG00000301639.1",14.238544338329,0.327754892977621,0.44210049888841,0.0655538026926277,NA
"ENSG00000272455.1",70.4173021242636,-0.0596078938411396,0.212266344980818,0.692720817142656,0.809573449119614
"ENSG00000235098.9",64.3590873594988,-0.0288141935135051,0.219228557851867,0.845920715377811,0.911855761522344
"ENSG00000225905.2",2.63213789082881,-0.0636846840752521,0.298800722190776,0.415160101458034,NA
"ENSG00000205116.4",0.898604391672951,0.0551829033652365,0.305949381396562,0.153322747607985,NA
"ENSG00000225285.2",17.7573218557326,-0.0411336897738948,0.262611354940516,0.751042756007848,NA
"ENSG00000179403.12",1445.98158999249,-0.0911538033664233,0.204523203696718,0.546268490139092,0.702143884458967
"ENSG00000215915.10",42.4944768694164,0.0958292794424621,0.236742993929778,0.531444663685666,0.691263446883959
"ENSG00000160072.20",959.079327422062,0.224287903485851,0.234860323507972,0.177601909052235,0.356204392887479
"ENSG00000290916.2",5.43678962951735,-0.0262931955737513,0.285934835506289,0.772278555596435,NA
"ENSG00000197785.14",987.734221329114,-0.188050775347181,0.194838041183974,0.216674892860075,0.403247307867936
"ENSG00000205090.10",13.2603178935199,-0.0384551153094755,0.267937013011847,0.75606789913672,NA
