"pathway","NES","pval","padj","ES","size"
"KEGG_RIBOSOME",-2.45369146855827,3.81456351009334e-17,7.01879685857174e-15,-0.740055041763487,84
"KEGG_OXIDATIVE_PHOSPHORYLATION",-1.95688171060659,1.09908099096975e-08,6.74103007794782e-07,-0.565892683983166,125
"KEGG_P53_SIGNALING_PATHWAY",-1.91756170965697,1.81828099433866e-05,0.000334563702958313,-0.594348156723989,67
"KEGG_HUNTINGTONS_DISEASE",-1.91258939023836,1.6211584588436e-09,1.49146578213611e-07,-0.537501011272207,171
"KEGG_PARKINSONS_DISEASE",-1.90711725572098,1.72606963942274e-07,7.93992034134459e-06,-0.552867318377807,122
"KEGG_RENAL_CELL_CARCINOMA",-1.842956981643,0.000100405288627412,0.00142112100826491,-0.571224424979298,67
"KEGG_CELL_CYCLE",-1.82035631812141,2.65982618821833e-06,6.99154312331674e-05,-0.526794676093648,124
"KEGG_ALZHEIMERS_DISEASE",-1.81469412013806,4.01215140050023e-07,1.42180568827132e-05,-0.513230878205581,159
"KEGG_SULFUR_METABOLISM",-1.80942086435786,0.00171077824651693,0.0104927732453038,-0.781638544109096,12
"KEGG_PEROXISOME",-1.79869671506984,0.000468976721381164,0.00431458583670671,-0.550650735637028,73
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",-1.79439915687976,0.00075838612540474,0.00581429362810301,-0.675771786055715,22
"KEGG_GLUTATHIONE_METABOLISM",-1.78007267664297,0.00131004228337707,0.00892769556079185,-0.59138149619186,43
"KEGG_PROTEASOME",-1.77669172068387,0.00063127458891267,0.00505019671130136,-0.593351435071541,42
"KEGG_INSULIN_SIGNALING_PATHWAY",-1.74406293836106,1.52076464590039e-05,0.000310911883161857,-0.503329500245146,128
"KEGG_TGF_BETA_SIGNALING_PATHWAY",-1.73499826705864,0.00044831072442639,0.00431458583670671,-0.52506723345416,82
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",-1.72344720398509,9.46820627576962e-05,0.00142112100826491,-0.505904932907978,108
"KEGG_OOCYTE_MEIOSIS",-1.71254185536024,0.000180651796946911,0.00221599537588211,-0.503679180760764,106
"KEGG_BLADDER_CANCER",-1.71115205912064,0.00227617602427921,0.0122042891885916,-0.571463534210679,42
"KEGG_MELANOMA",-1.70503098247749,0.00155736697573314,0.0100060250923141,-0.53347499502294,63
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",-1.6953850942131,0.00348899624261943,0.0156579343571214,-0.633138594570809,23
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",-1.69342913612618,0.000533718246962697,0.00446382533823347,-0.507361407288593,89
