"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071280","cellular response to copper ion","4/80","25/18805",0.16,37.61,11.9723978650343,3.5885912263218e-06,0.00631592055832637,0.00537533191058518,"SNCA/MT1E/MT1F/MT1G",4
"GO:0006182","cGMP biosynthetic process","3/80","11/18805",0.272727272727273,64.1079545454545,13.6845347559562,1.19361198870149e-05,0.00793024823612428,0.0067492483492852,"NPR1/GUCY1A1/GUCY1B1",3
"GO:0006882","intracellular zinc ion homeostasis","4/80","35/18805",0.114285714285714,26.8642857142857,10.0106338432557,1.43813290121007e-05,0.00793024823612428,0.0067492483492852,"SLC30A2/MT1E/MT1F/MT1G",4
"GO:0046688","response to copper ion","4/80","37/18805",0.108108108108108,25.4121621621622,9.7153245315548,1.8023291445737e-05,0.00793024823612428,0.0067492483492852,"SNCA/MT1E/MT1F/MT1G",4
"GO:0010273","detoxification of copper ion","3/80","16/18805",0.1875,44.07421875,11.2663896925644,3.98931478352034e-05,0.0117019900316597,0.0099592893630692,"MT1E/MT1F/MT1G",3
"GO:1990169","stress response to copper ion","3/80","16/18805",0.1875,44.07421875,11.2663896925644,3.98931478352034e-05,0.0117019900316597,0.0099592893630692,"MT1E/MT1F/MT1G",3
"GO:0046068","cGMP metabolic process","3/80","17/18805",0.176470588235294,41.4816176470588,10.9144346556977,4.82932089420046e-05,0.0121422925339897,0.0103340204999207,"NPR1/GUCY1A1/GUCY1B1",3
"GO:0010043","response to zinc ion","4/80","53/18805",0.0754716981132075,17.7405660377358,7.97707136933712,7.58891831052048e-05,0.016421437088697,0.0139759001059903,"SLC30A2/MT1E/MT1F/MT1G",4
"GO:0009190","cyclic nucleotide biosynthetic process","3/80","21/18805",0.142857142857143,33.5803571428571,9.76406472942894,9.33036198221421e-05,0.016421437088697,0.0139759001059903,"NPR1/GUCY1A1/GUCY1B1",3
"GO:0097501","stress response to metal ion","3/80","21/18805",0.142857142857143,33.5803571428571,9.76406472942894,9.33036198221421e-05,0.016421437088697,0.0139759001059903,"MT1E/MT1F/MT1G",3
"GO:0061687","detoxification of inorganic compound","3/80","23/18805",0.130434782608696,30.6603260869565,9.30310928788774,0.000123481414308351,0.0197570262893362,0.0168147418718453,"MT1E/MT1F/MT1G",3
"GO:0071294","cellular response to zinc ion","3/80","24/18805",0.125,29.3828125,9.09412447541804,0.000140689590862627,0.0206344733265186,0.0175615164734665,"MT1E/MT1F/MT1G",3
"GO:0071276","cellular response to cadmium ion","3/80","26/18805",0.115384615384615,27.1225961538462,8.71216277473228,0.000179623156663386,0.024318211979043,0.0206966600754654,"MT1E/MT1F/MT1G",3
